Transaction_ID,Date,Customer_ID,Product_ID,Product_Category,Quantity,Price_per_Unit,Payment_Method,Store_Location,Total_Amount
T001,2024-08-06,C945,P014,Toys,6,339.48,Mobile Payment,Los Angeles,2036.88
T002,2024-08-02,C345,P020,Furniture,3,351.17,Debit Card,Houston,1053.51
T003,2024-08-13,C125,P022,Electronics,9,703.83,Mobile Payment,Chicago,6334.47
T004,2024-08-07,C104,P019,Electronics,1,199.77,Debit Card,Houston,199.77
T005,2024-08-02,C277,P036,Groceries,8,512.97,Cash,Chicago,4103.76
T006,2024-08-13,C743,P045,Electronics,9,424.56,Cash,New York,3821.04
T007,2024-08-21,C994,P012,Clothing,3,580.22,Credit Card,New York,1740.66
T008,2024-08-28,C210,P019,Clothing,9,616.12,Cash,New York,5545.08
T009,2024-08-06,C178,P026,Groceries,7,771.1,Cash,Los Angeles,5397.7
T010,2024-08-06,C883,P034,Furniture,3,74.31,Mobile Payment,Chicago,222.93
T011,2024-08-06,C872,P047,Groceries,7,328.3,Mobile Payment,Houston,2298.1
T012,2024-08-17,C438,P024,Groceries,8,833.03,Credit Card,Los Angeles,6664.24
T013,2024-08-13,C410,P050,Electronics,4,127.28,Mobile Payment,Los Angeles,509.12
T014,2024-08-01,C910,P037,Groceries,8,705.36,Mobile Payment,New York,5642.88
T015,2024-08-29,C996,P020,Groceries,6,375.26,Debit Card,Los Angeles,2251.56
T016,2024-08-15,C885,P045,Toys,5,515.2,Cash,Los Angeles,2576.0
T017,2024-08-02,C208,P023,Groceries,2,146.15,Mobile Payment,Houston,292.3
T018,2024-08-07,C607,P003,Electronics,8,697.68,Cash,Los Angeles,5581.44
T019,2024-08-18,C699,P014,Electronics,2,943.14,Debit Card,Chicago,1886.28
T020,2024-08-29,C493,P031,Toys,4,155.85,Mobile Payment,Houston,623.4
T021,2024-08-13,C916,P014,Electronics,7,967.16,Debit Card,Houston,6770.12
T022,2024-08-05,C515,P044,Groceries,3,776.43,Cash,Miami,2329.29
T023,2024-08-26,C698,P023,Electronics,10,940.78,Credit Card,Chicago,9407.8
T024,2024-08-18,C527,P023,Furniture,9,32.72,Debit Card,Los Angeles,294.48
T025,2024-08-12,C693,P022,Groceries,7,80.17,Credit Card,Chicago,561.19
T026,2024-08-28,C756,P037,Clothing,1,714.27,Mobile Payment,Houston,714.27
T027,2024-08-07,C849,P047,Clothing,7,396.88,Debit Card,Chicago,2778.16
T028,2024-08-29,C670,P011,Toys,2,845.87,Debit Card,New York,1691.74
T029,2024-08-11,C404,P003,Clothing,5,552.61,Debit Card,Los Angeles,2763.05
T030,2024-08-05,C374,P010,Furniture,4,741.54,Debit Card,Miami,2966.16
T031,2024-08-01,C250,P046,Groceries,5,653.65,Debit Card,New York,3268.25
T032,2024-08-23,C852,P009,Clothing,8,965.69,Cash,Chicago,7725.52
T033,2024-08-06,C140,P008,Furniture,10,752.61,Debit Card,Miami,7526.1
T034,2024-08-20,C359,P004,Clothing,7,128.52,Cash,Houston,899.6400000000001
T035,2024-08-13,C521,P028,Toys,8,955.95,Credit Card,Los Angeles,7647.6
T036,2024-08-07,C534,P047,Groceries,8,242.22,Cash,New York,1937.76
T037,2024-08-07,C220,P028,Furniture,2,539.88,Cash,Los Angeles,1079.76
T038,2024-08-22,C239,P011,Toys,10,185.51,Debit Card,Houston,1855.1
T039,2024-08-01,C917,P003,Furniture,9,600.14,Debit Card,New York,5401.26
T040,2024-08-23,C284,P011,Electronics,4,477.47,Cash,Chicago,1909.88
T041,2024-08-20,C711,P011,Furniture,10,218.5,Credit Card,Los Angeles,2185.0
T042,2024-08-11,C491,P010,Electronics,8,84.3,Debit Card,Miami,674.4
T043,2024-08-27,C983,P032,Groceries,8,429.85,Mobile Payment,Houston,3438.8
T044,2024-08-27,C277,P043,Clothing,7,65.02,Cash,Miami,455.14
T045,2024-08-04,C290,P022,Groceries,2,221.43,Cash,Houston,442.86
T046,2024-08-20,C559,P031,Toys,1,322.6,Debit Card,Los Angeles,322.6
T047,2024-08-16,C810,P003,Clothing,2,986.06,Cash,Houston,1972.12
